# Depth (um), Electronic Energy Loss (keV/nm), Nuclear Energy Loss (keV/nm), Total Energy Loss (keV/nm), Energy (keV)
7.896909999999999741e+01,1.045278710000000055e+00,3.600738100000000053e+00,4.646016809999999886e+00,3.000000000000000000e+02
7.897419999999999618e+01,1.000781340000000075e+00,3.587088600000000405e+00,4.587869940000000923e+00,2.750000000000000000e+02
7.897929999999999495e+01,9.541000499999999773e-01,3.565249400000000346e+00,4.519349449999999990e+00,2.500000000000000000e+02
7.898449999999999704e+01,9.052348399999999851e-01,3.537950400000000162e+00,4.443185240000000036e+00,2.250000000000000000e+02
7.898980000000000246e+01,8.533667400000000125e-01,3.497001900000000330e+00,4.350368640000000120e+00,2.000000000000000000e+02
7.899410000000000309e+01,8.096883400000000064e-01,3.458783299999999894e+00,4.268471639999999567e+00,1.800000000000000000e+02
7.899629999999999086e+01,7.867571800000000559e-01,3.434214200000000439e+00,4.220971380000000828e+00,1.700000000000000000e+02
7.899849999999999284e+01,7.632800399999999375e-01,3.409645100000000095e+00,4.172925140000000255e+00,1.600000000000000000e+02
7.900069999999999482e+01,7.389839299999999556e-01,3.379616200000000514e+00,4.118600130000000803e+00,1.500000000000000000e+02
7.900300000000000011e+01,7.138688500000001103e-01,3.346857399999999760e+00,4.060726250000000093e+00,1.400000000000000000e+02
7.900529999999999120e+01,6.879347999999999574e-01,3.308638799999999769e+00,3.996573599999999615e+00,1.300000000000000000e+02
7.900759999999999650e+01,6.609087899999999127e-01,3.264960400000000540e+00,3.925869190000000231e+00,1.200000000000000000e+02
7.900999999999999091e+01,6.327908200000000871e-01,3.218552099999999694e+00,3.851342919999999559e+00,1.100000000000000000e+02
7.901239999999999952e+01,6.033079000000000081e-01,3.161224199999999929e+00,3.764532099999999826e+00,1.000000000000000000e+02
7.901489999999999725e+01,5.724600300000000086e-01,3.098436499999999594e+00,3.670896529999999380e+00,9.000000000000000000e+01
7.901739999999999498e+01,5.397012300000000318e-01,3.024729200000000340e+00,3.564430430000000261e+00,8.000000000000000000e+01
7.901999999999999602e+01,5.047585100000000491e-01,2.937372400000000106e+00,3.442130910000000377e+00,7.000000000000000000e+01
7.902139999999999986e+01,4.864681800000000278e-01,2.885504300000000022e+00,3.371972480000000161e+00,6.500000000000000000e+01
7.902270000000000039e+01,4.673588799999999766e-01,2.830906300000000098e+00,3.298265180000000019e+00,6.000000000000000000e+01
7.902410000000000423e+01,4.474306100000000064e-01,2.770848500000000048e+00,3.218279110000000109e+00,5.500000000000000000e+01
7.902559999999999718e+01,4.266833700000000063e-01,2.703692959999999701e+00,3.130376329999999818e+00,5.000000000000000000e+01
7.902709999999999013e+01,4.048441700000000032e-01,2.628347720000000276e+00,3.033191890000000335e+00,4.500000000000000000e+01
7.902859999999999729e+01,3.816400199999999687e-01,2.543447829999999854e+00,2.925087849999999712e+00,4.000000000000000000e+01
7.902939999999999543e+01,3.696284599999999920e-01,2.496766539999999868e+00,2.866394999999999804e+00,3.750000000000000000e+01
7.903019999999999357e+01,3.570709200000000139e-01,2.446536379999999955e+00,2.803607299999999913e+00,3.500000000000000000e+01
7.903099999999999170e+01,3.439673999999999787e-01,2.392757350000000116e+00,2.736724750000000039e+00,3.250000000000000000e+01
7.903180000000000405e+01,3.305908900000000816e-01,2.334610479999999821e+00,2.665201370000000125e+00,3.000000000000000000e+01
7.903269999999999129e+01,3.163954100000000436e-01,2.271276799999999874e+00,2.587672210000000028e+00,2.750000000000000000e+01
7.903359999999999275e+01,3.016539500000000040e-01,2.202210330000000216e+00,2.503864280000000164e+00,2.500000000000000000e+01
7.903449999999999420e+01,2.863665100000000185e-01,2.126319109999999846e+00,2.412685619999999975e+00,2.250000000000000000e+01
7.903539999999999566e+01,2.698506150000000159e-01,2.042238189999999953e+00,2.312088805000000136e+00,2.000000000000000000e+01
